case,direction,requested,actual,method,status,l1,l2,linf
c6,y,0.305,0.30375,weno5_js,complete,0.009703478090951689,0.02490038554675866,0.2677280164913458
c6,y,0.305,0.30375,weno5_sr_f64,complete,0.005811348922909625,0.01719232027789922,0.2093543113959755
c6,y,0.305,0.30375,weno5_sr_f32,complete,0.006239694582602012,0.0163795857646336,0.18452787403546167
c6,y,0.305,0.30375,weno7_js,complete,0.007100643816088681,0.018891523668693753,0.22300227783745696
c6,y,0.305,0.30375,weno7_z_p3,complete,0.007659066702127066,0.018623130460208748,0.2152782576975394
c6,y,0.305,0.30375,weno7_sr_f64,complete,0.004246222493586322,0.012972969100455,0.17144815381649225
c6,y,0.465,0.46625,weno5_js,complete,0.015867449035734744,0.03939921694360113,0.2925716074797532
c6,y,0.465,0.46625,weno5_sr_f64,complete,0.010852069195500115,0.02811253614922193,0.25842520831410465
c6,y,0.465,0.46625,weno5_sr_f32,complete,0.010775475848780825,0.028208527927608675,0.2622415821422097
c6,y,0.465,0.46625,weno7_js,complete,0.01297941065665706,0.032847071973002795,0.25128894614881925
c6,y,0.465,0.46625,weno7_z_p3,complete,0.014189421741365312,0.03533650443526749,0.2956319667223253
c6,y,0.465,0.46625,weno7_sr_f64,complete,0.008026759770417414,0.02240152304295301,0.21905051803181852
c6,y,0.655,0.65375,weno5_js,complete,0.025246413855556354,0.051962677973856106,0.19246940788009304
c6,y,0.655,0.65375,weno5_sr_f64,complete,0.016378617705125033,0.03428686648541882,0.13338004157603445
c6,y,0.655,0.65375,weno5_sr_f32,complete,0.014055433718795926,0.02762979611115648,0.11108042395845596
c6,y,0.655,0.65375,weno7_js,complete,0.01528526983273452,0.0329941897155515,0.1333894930642734
c6,y,0.655,0.65375,weno7_z_p3,complete,0.018570626508524708,0.038180512166167926,0.1455949297170882
c6,y,0.655,0.65375,weno7_sr_f64,complete,0.007813208632797275,0.01880073756863386,0.08962768293569279
c6,x,0.46,0.46125,weno5_js,complete,0.01292370548967253,0.029443585928793203,0.3118186940851734
c6,x,0.46,0.46125,weno5_sr_f64,complete,0.008290659681140908,0.01598764950706111,0.1474079035369345
c6,x,0.46,0.46125,weno5_sr_f32,complete,0.007988391156409782,0.015662480018878353,0.13999082206374153
c6,x,0.46,0.46125,weno7_js,complete,0.009788657906776856,0.02226454253319636,0.23753977436196638
c6,x,0.46,0.46125,weno7_z_p3,complete,0.010492263697234218,0.021996610533367253,0.2274645376426615
c6,x,0.46,0.46125,weno7_sr_f64,complete,0.006187502166980144,0.015950020451659358,0.17378446311525086
