problem,method,label,nx,t_end,cfl,reference,rho_l1_mean,rho_l1_integral,rho_l2_mean,rho_linf,velocity_l1_mean,velocity_l1_integral,velocity_l2_mean,velocity_linf,pressure_l1_mean,pressure_l1_integral,pressure_l2_mean,pressure_linf
lax,weno5_js,WENO5-JS-RK3,200,1.3,0.8,15-point Gauss exact cell averages,0.00677337105849069,0.0677337105849069,0.033646180475622185,0.3461942611056521,0.005427914253574433,0.05427914253574433,0.02396824363986733,0.30784890245086466,0.006548192025839354,0.06548192025839354,0.02328848571962226,0.21385620898704893
lax,weno5_z_p2,WENO5-Z-RK3,200,1.3,0.8,15-point Gauss exact cell averages,0.005399423435389255,0.05399423435389255,0.028742561613860573,0.3155316586396848,0.004801859511601044,0.04801859511601045,0.019020827456441274,0.23474731756157174,0.005848033894982103,0.058480338949821034,0.018161069642420966,0.158749460783004
lax,weno5_sr_f64,WENO5-SR-RK3,200,1.3,0.8,15-point Gauss exact cell averages,0.004854836515529101,0.04854836515529101,0.027114703386362016,0.31171828742193375,0.0033738175773912727,0.03373817577391273,0.014235096584539465,0.18399202496698255,0.004221069331847009,0.0422106933184701,0.013449019807735952,0.12206487964216739
lax,weno5_sr_f32,WENO5-SR-FP32-RK3,200,1.3,0.8,15-point Gauss exact cell averages,0.004855994352603844,0.04855994352603845,0.026922867941882953,0.3083570523713782,0.0035875358647294163,0.035875358647294166,0.014833925658601366,0.19006372493245763,0.004465134225500693,0.04465134225500693,0.014237412810373724,0.12564315641828572
lax,weno7_js,WENO7-JS-RK4,200,1.3,0.8,15-point Gauss exact cell averages,0.0059790562598758135,0.05979056259875814,0.03112867804980643,0.3303178860042355,0.005698264470257289,0.05698264470257289,0.02511650899704151,0.3210318145435665,0.006900526734718968,0.06900526734718969,0.024887536217841295,0.22531532403641452
lax,weno7_z_p3,WENO7-Z-RK4,200,1.3,0.8,15-point Gauss exact cell averages,0.006104027658765422,0.06104027658765422,0.03149785277140588,0.3313187561959483,0.006087585881834266,0.060875858818342655,0.027071085748154113,0.3470615588986299,0.007345408696330224,0.07345408696330223,0.02675261391710653,0.24739722211405157
lax,weno7_sr_f64,WENO7-SR-RK4,200,1.3,0.8,15-point Gauss exact cell averages,0.004415307881963122,0.04415307881963122,0.02420576854020598,0.275315016557083,0.003489378991110112,0.03489378991110112,0.012010107809367886,0.1370196142517106,0.0041046071246984344,0.041046071246984346,0.011507799275166656,0.09038438694383022
