case,direction,requested,actual,method,status,l1,l2,linf
c4,y,0.5,0.49875,weno5_js,complete,0.004746862237942276,0.011790428921493802,0.08864709712071095
c4,y,0.5,0.49875,weno5_sr_f64,complete,0.0037552611810660235,0.009224573478520846,0.05463255344660323
c4,y,0.5,0.49875,weno5_sr_f32,complete,0.003783443827580947,0.009252403607379745,0.052245639752825035
c4,y,0.5,0.49875,weno7_js,complete,0.004227232108728044,0.010505919392492378,0.08939893610929839
c4,y,0.5,0.49875,weno7_z_p3,complete,0.00427088025511298,0.010911712349457692,0.1036035982349206
c4,y,0.5,0.49875,weno7_sr_f64,complete,0.0027313547854713903,0.006402550531445883,0.034860802322666196
c4,y,0.44,0.44125,weno5_js,complete,0.0034823041177738543,0.009692593870109146,0.1062592490008929
c4,y,0.44,0.44125,weno5_sr_f64,complete,0.001953915105641377,0.00630890799619853,0.07094384814028398
c4,y,0.44,0.44125,weno5_sr_f32,complete,0.0020675034439340627,0.0065070171552762315,0.07493198022981762
c4,y,0.44,0.44125,weno7_js,complete,0.0029552008930712106,0.008943710947241596,0.10397206492554045
c4,y,0.44,0.44125,weno7_z_p3,complete,0.0034462138767179717,0.009912757030609969,0.11653952793236022
c4,y,0.44,0.44125,weno7_sr_f64,complete,0.0015484296954860755,0.005924029560308915,0.0715106630022988
c4,y,0.715,0.71375,weno5_js,complete,0.0031913567724656216,0.008269475758687405,0.11571786460789646
c4,y,0.715,0.71375,weno5_sr_f64,complete,0.0017637043037942994,0.0054673285291187606,0.07988611075056506
c4,y,0.715,0.71375,weno5_sr_f32,complete,0.001784677931280128,0.005601881658333268,0.08202883412110085
c4,y,0.715,0.71375,weno7_js,complete,0.0027526716555798564,0.008346853536878208,0.12608456207933716
c4,y,0.715,0.71375,weno7_z_p3,complete,0.002992227257752616,0.009059817217179595,0.13730519830844368
c4,y,0.715,0.71375,weno7_sr_f64,complete,0.0015669647427117405,0.004541735554777672,0.059279314737653355
c4,y,0.34,0.34125,weno5_js,complete,0.004533269153539625,0.017776752935937393,0.2381728419469229
c4,y,0.34,0.34125,weno5_sr_f64,complete,0.0029560294143089836,0.012810286622885716,0.1862489163761667
c4,y,0.34,0.34125,weno5_sr_f32,complete,0.0030666758312501057,0.012759754938563904,0.18553020777358298
c4,y,0.34,0.34125,weno7_js,complete,0.004265306584169761,0.017195886367601262,0.23838811731880494
c4,y,0.34,0.34125,weno7_z_p3,complete,0.004915186915875597,0.018479610325316066,0.24396712222038075
c4,y,0.34,0.34125,weno7_sr_f64,complete,0.0021060456209961993,0.009874734703903328,0.15440327409470078
