method,label,nx,ny,cfl,t_end,reference,rho_l1,rho_l2,rho_linf
weno5_js,WENO5-JS-RK3,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.045817915309323325,0.07114112532237311,0.1599458596689911
weno5_z_p2,WENO5-Z-RK3,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.03666952543273437,0.05894350714882045,0.1542823371184605
weno5_sr_f64,WENO5-SR-RK3,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.016817740885314403,0.028064103420573423,0.1379254414337696
weno5_sr_f32,WENO5-SR-FP32-RK3,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.01960565024853782,0.03225209225743337,0.13115175043833438
weno7_js,WENO7-JS-RK4,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.04151826367874548,0.06557518112439623,0.15759534234559514
weno7_z_p3,WENO7-Z-RK4,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.021928476674740124,0.03598999173965571,0.1460048964774685
weno7_sr_f64,WENO7-SR-RK4,1001,10,0.8,5.0,WENO5-JS N=10001 pointwise interpolation,0.019454334816435305,0.032150974174744475,0.1457687944288515
