label,reference,step,total_abs_error,relative_error,max_abs_error,common_min,common_max
"WENO5-JS/RK3, 224 × 88²","TR1W ref., 1120 × 440²",823,2.70236363e-02,6.76082939e-02,1.77972138e+00,5.05681818e-04,8.84943182e-02
"WENO5-Z/RK3, 224 × 88²","TR1W ref., 1120 × 440²",840,2.27185855e-02,5.68378285e-02,1.71187537e+00,5.05681818e-04,8.84943182e-02
"WENO5-JS/RK3, 448 × 176²","TR1W ref., 1120 × 440²",1743,1.23858489e-02,3.07594641e-02,8.93991685e-01,2.52840909e-04,8.87471591e-02
"WENO5-SR (FP64)/RK3, 224 × 88²","TR1W ref., 1120 × 440²",863,1.72415844e-02,4.31353535e-02,1.59116309e+00,5.05681818e-04,8.84943182e-02
"WENO5-SR (FP32)/RK3, 224 × 88²","TR1W ref., 1120 × 440²",863,1.68884653e-02,4.22519127e-02,1.53716433e+00,5.05681818e-04,8.84943182e-02
"WENO7-JS/RK4, 224 × 88²","TR1W ref., 1120 × 440²",841,2.12015046e-02,5.30423639e-02,1.63854787e+00,5.05681818e-04,8.84943182e-02
"WENO7-Z/RK4, 224 × 88²","TR1W ref., 1120 × 440²",832,2.28873006e-02,5.72599235e-02,1.76646302e+00,5.05681818e-04,8.84943182e-02
"WENO7-JS/RK4, 448 × 176²","TR1W ref., 1120 × 440²",1764,1.17627976e-02,2.92121560e-02,1.11690369e+00,2.52840909e-04,8.87471591e-02
"WENO7-SR (FP64)/RK4, 224 × 88²","TR1W ref., 1120 × 440²",871,1.65691869e-02,4.14531354e-02,1.86832960e+00,5.05681818e-04,8.84943182e-02
