label,reference,step,total_abs_error,relative_error,max_abs_error,common_min,common_max
"WENO5-JS/RK3, 224 × 88²","TR1W ref., 1120 × 440²",823,3.22145042e-02,1.01805779e-01,2.50798566e+00,5.05681818e-04,8.84943182e-02
"WENO5-Z/RK3, 224 × 88²","TR1W ref., 1120 × 440²",840,2.99235346e-02,9.45657504e-02,2.49879529e+00,5.05681818e-04,8.84943182e-02
"WENO5-JS/RK3, 448 × 176²","TR1W ref., 1120 × 440²",1743,2.27474332e-02,7.12231305e-02,2.56674070e+00,2.52840909e-04,8.87471591e-02
"WENO5-SR (FP64)/RK3, 224 × 88²","TR1W ref., 1120 × 440²",863,2.95753886e-02,9.34655231e-02,2.49730103e+00,5.05681818e-04,8.84943182e-02
"WENO5-SR (FP32)/RK3, 224 × 88²","TR1W ref., 1120 × 440²",863,3.00338510e-02,9.49143774e-02,2.50577881e+00,5.05681818e-04,8.84943182e-02
"WENO7-JS/RK4, 224 × 88²","TR1W ref., 1120 × 440²",841,2.83626128e-02,8.96328523e-02,2.54903381e+00,5.05681818e-04,8.84943182e-02
"WENO7-Z/RK4, 224 × 88²","TR1W ref., 1120 × 440²",832,3.02975946e-02,9.57478720e-02,2.57178390e+00,5.05681818e-04,8.84943182e-02
"WENO7-JS/RK4, 448 × 176²","TR1W ref., 1120 × 440²",1764,2.26252559e-02,7.08405885e-02,2.78869977e+00,2.52840909e-04,8.87471591e-02
"WENO7-SR (FP64)/RK4, 224 × 88²","TR1W ref., 1120 × 440²",871,2.74853512e-02,8.68604894e-02,2.53129220e+00,5.05681818e-04,8.84943182e-02
