requested_y,actual_y,method,status,l1_vs_weno7_js,l2_vs_weno7_js,linf_vs_weno7_js
0.2,0.20166666666666666,weno5_js,complete,0.028593984926176017,0.154771193868032,2.227125809903187
0.2,0.20166666666666666,weno5_z_p2,complete,0.029556959779009517,0.16397936056493673,2.3373973329826754
0.2,0.20166666666666666,weno5_sr_f64,complete,0.028012907144796245,0.13762826186993138,2.1908030670170877
0.2,0.20166666666666666,weno5_sr_f32,complete,0.030259226037947517,0.16175595049044847,2.6269532780562184
0.2,0.20166666666666666,weno7_js,complete,0.0,0.0,0.0
0.2,0.20166666666666666,weno7_z_p3,complete,0.01643554079799435,0.04146105769808355,0.4728595448685873
0.2,0.20166666666666666,weno7_sr_f64,complete,0.048256541779611764,0.243145343590446,3.1676397585518465
0.4,0.40166666666666667,weno5_js,complete,0.020319551665790535,0.08783586907254247,0.855137800015294
0.4,0.40166666666666667,weno5_z_p2,complete,0.018285599439224677,0.07557540346697271,0.7568901432322885
0.4,0.40166666666666667,weno5_sr_f64,complete,0.020062911621581473,0.07105340493014603,0.6992289264301732
0.4,0.40166666666666667,weno5_sr_f32,complete,0.020236020994513926,0.07282702756501318,0.7034860770343982
0.4,0.40166666666666667,weno7_js,complete,0.0,0.0,0.0
0.4,0.40166666666666667,weno7_z_p3,complete,0.011941181311045436,0.03762105794522929,0.4928366099660497
0.4,0.40166666666666667,weno7_sr_f64,complete,0.022503405545718617,0.08396027122475638,0.8136511779403754
0.6,0.5983333333333334,weno5_js,complete,0.0010141616933226861,0.010540095049299206,0.34335883351322494
0.6,0.5983333333333334,weno5_z_p2,complete,0.001130968168901266,0.015865188834487436,0.5341854707413747
0.6,0.5983333333333334,weno5_sr_f64,complete,0.0022438618200577437,0.03294105621593698,1.0960800803517636
0.6,0.5983333333333334,weno5_sr_f32,complete,0.002073341450845177,0.030869984301451908,1.033589760918098
0.6,0.5983333333333334,weno7_js,complete,0.0,0.0,0.0
0.6,0.5983333333333334,weno7_z_p3,complete,0.000743693553014525,0.0049051777951622634,0.1246310380514104
0.6,0.5983333333333334,weno7_sr_f64,complete,0.004611247154754755,0.04564970532012218,1.3880084454413475
