case,direction,requested,actual,method,status,l1,l2,linf
c3,y,0.42,0.41875,weno5_js,complete,0.006691911202951366,0.028912340425882487,0.4578270059741716
c3,y,0.42,0.41875,weno5_sr_f64,complete,0.006965910025927169,0.03088121083362055,0.508355600179712
c3,y,0.42,0.41875,weno5_sr_f32,complete,0.007392731299144722,0.03165209368015908,0.5137540138446051
c3,y,0.42,0.41875,weno7_js,complete,0.006592949182239143,0.02801901978570663,0.44674991802944386
c3,y,0.42,0.41875,weno7_z_p3,complete,0.006612989732962862,0.027264073590407428,0.43287563412218755
c3,y,0.42,0.41875,weno7_sr_f64,complete,0.006975572297284471,0.02954999385822134,0.4893782197549774
c3,y,0.5,0.49875,weno5_js,complete,0.021581121207792268,0.029712244186748154,0.27725772517906144
c3,y,0.5,0.49875,weno5_sr_f64,complete,0.022723012253811077,0.030934382913733897,0.2417098922686004
c3,y,0.5,0.49875,weno5_sr_f32,complete,0.022340268743466028,0.030418299545283054,0.23580727121859701
c3,y,0.5,0.49875,weno7_js,complete,0.02060792374282813,0.029329765446715263,0.31581227044219173
c3,y,0.5,0.49875,weno7_z_p3,complete,0.019225335275995726,0.027130920805123703,0.29936465494870124
c3,y,0.5,0.49875,weno7_sr_f64,complete,0.017379752334011313,0.02388686799170454,0.18894802160028268
c3,x,0.43,0.42875,weno5_js,complete,0.008164863243601718,0.028355011436751537,0.4508065039912099
c3,x,0.43,0.42875,weno5_sr_f64,complete,0.0083654007462733,0.030807449769491364,0.514969619139191
c3,x,0.43,0.42875,weno5_sr_f32,complete,0.008306947424960853,0.030699691403347655,0.514524289161312
c3,x,0.43,0.42875,weno7_js,complete,0.00832552101698104,0.027618278400907945,0.4343149752887776
c3,x,0.43,0.42875,weno7_z_p3,complete,0.008366758204322328,0.027332351613659992,0.43198535913924085
c3,x,0.43,0.42875,weno7_sr_f64,complete,0.008590611588151548,0.029290318849793558,0.4789998030083049
c3,x,0.62,0.61875,weno5_js,complete,0.00155008890483016,0.006581252341074777,0.12039544456104223
c3,x,0.62,0.61875,weno5_sr_f64,complete,0.001518847301661985,0.005161096207072444,0.09213006215435837
c3,x,0.62,0.61875,weno5_sr_f32,complete,0.0015470272528691992,0.005439765977927786,0.09619586565660132
c3,x,0.62,0.61875,weno7_js,complete,0.0018481615715074838,0.008959465195389645,0.1657249118759727
c3,x,0.62,0.61875,weno7_z_p3,complete,0.001821422611902594,0.008771652740020085,0.1618242504934464
c3,x,0.62,0.61875,weno7_sr_f64,complete,0.0014598106047070706,0.0035116484635414613,0.05199179531088027
