case,direction,location,coordinate_min,coordinate_max,method,status,l1,l2,linf
ma122,y,0.019,0.115,0.128,weno5_js,complete,0.030583593098728407,0.07151080754386571,0.3145317195671178
ma122,y,0.019,0.115,0.128,weno5_z_p2,complete,0.024323428038409554,0.05237885903529153,0.2347327736425694
ma122,y,0.019,0.115,0.128,weno5_sr_f64,complete,0.021774626218928603,0.045913348695943844,0.17266316243137614
ma122,y,0.019,0.115,0.128,weno5_sr_f32,complete,0.022924155806701704,0.05221827200116425,0.2458333440475915
ma122,y,0.04525,0.1,0.145,weno5_js,complete,0.06233147311894458,0.22173902342936622,1.3873560307212163
ma122,y,0.04525,0.1,0.145,weno5_z_p2,complete,0.07167961436901792,0.2631565438677969,1.4255755936460415
ma122,y,0.04525,0.1,0.145,weno5_sr_f64,complete,0.04741863502670917,0.18783387661714773,1.363380986601559
ma122,y,0.04525,0.1,0.145,weno5_sr_f32,complete,0.048432193266062164,0.19462592846167578,1.3801321401778974
ma122,x,0.1256625,0.005,0.084,weno5_js,complete,0.214616407386123,0.40774438857128253,1.117217328311312
ma122,x,0.1256625,0.005,0.084,weno5_z_p2,complete,0.17143829587898762,0.3337954377176978,0.9627070531574137
ma122,x,0.1256625,0.005,0.084,weno5_sr_f64,complete,0.17107746066917057,0.34754046228056096,1.1573088462519574
ma122,x,0.1256625,0.005,0.084,weno5_sr_f32,complete,0.15678748419167857,0.33084810291429345,1.1084924643738958
ma122,y,0.019,0.115,0.128,weno7_js,complete,0.02156128825468442,0.05188878266856156,0.2599387715666034
ma122,y,0.019,0.115,0.128,weno7_z_p3,complete,0.020973957908839335,0.044578016555646416,0.20684490318574666
ma122,y,0.019,0.115,0.128,weno7_sr_f64,complete,0.007502859666432942,0.02215478664810809,0.12925454258605074
ma122,y,0.04525,0.1,0.145,weno7_js,complete,0.061765419172950004,0.23688741889252493,1.4359878832581967
ma122,y,0.04525,0.1,0.145,weno7_z_p3,complete,0.05294257469835377,0.2049913908679307,1.4008626839610527
ma122,y,0.04525,0.1,0.145,weno7_sr_f64,complete,0.030217267632758976,0.155399392429598,1.3809593786860246
ma122,x,0.1256625,0.005,0.084,weno7_js,complete,0.10450419269942407,0.23686407434165846,1.2172824400541362
ma122,x,0.1256625,0.005,0.084,weno7_z_p3,complete,0.11923957944517163,0.2485130048997523,1.1935667753184265
ma122,x,0.1256625,0.005,0.084,weno7_sr_f64,complete,0.06742898242020078,0.18644117974133056,1.3075000845297562
