method,label,nx,t_end,cfl,l1,l2,linf,tv
weno5_js,WENO5-JS-RK3,200,10.0,0.6,0.04976537479001931,0.10254495561119178,0.4396222041747174,7.0606477753651165
weno5_sr_f64,WENO5-SR-RK3,200,10.0,0.6,0.03756399031896309,0.08455862113523427,0.43177538150451444,7.3168260519667605
weno5_sr_f32,WENO5-SR-FP32-RK3,200,10.0,0.6,0.03645371035740613,0.08320067916842694,0.43213790537970664,7.31974768534697
weno5_z_p2,WENO5-Z-RK3,200,10.0,0.6,0.041982062358868956,0.09145181158341685,0.434959874429469,7.496887558219917
weno7_js,WENO7-JS-RK4,200,10.0,0.6,0.029739185322686722,0.07491438821143098,0.4100098736261357,7.426516624529977
weno7_sr_f64,WENO7-SR-RK4,200,10.0,0.6,0.02341602561621716,0.06839131431903549,0.39633831967172417,7.57265032695662
weno7_z_p3,WENO7-Z-RK4,200,10.0,0.6,0.02928890586133681,0.07089736006245972,0.41970424852605664,7.544239872440354
